FILIAL;CLIENTE;LOJA;C‡DIGO;DESCRIÄ«O;TES BAIXA;ARMAZêM;MED;QDE;CUSTO UM; CUSTO TOTAL 
010107;999001;07;080827;COPO COQUETEL 550ML TRANSP;675;02; UN ;3;1.957300; 5.87 
010107;999001;07;080836;COPO TWISTER 400ML 1308-9;675;02; UN ;2;1.881500; 3.76 
010107;999001;07;081599;ESCOR TALHERES VM DIV 308/;675;02; UN ;1;2.393500; 2.39 
010107;999001;07;082807;FACCILITA FAC01 KEITA;675;02; UN ;1;6.957600; 6.96 
010107;999001;07;085030;P.TALHER VM GD 346/3 SANRE;675;02; UN ;3;7.307700; 21.92 
010107;999001;07;085032;P.TALHER VM S TAMPA 356/3;675;02; UN ;1;4.067760; 4.07 
010107;999001;07;094433;CORTADOR BATATA PALITO CBP;675;02; UN ;2;9.090400; 18.18 
010107;999001;07;095311;TIGELA RED PQ 480ML PT 200;675;02; UN ;2;1.108300; 2.22 
010107;999001;07;095352;BOMBONIERE 2.6L PS TRANSP;675;02; UN ;1;5.524600; 5.52 
010107;999001;07;095363;P.ACUCAR 2.3L BC ALVES;675;02; UN ;1;5.270800; 5.27 
010107;999001;07;095366;P.TRIGO 2.3L BC 6075-42 AL;675;02; UN ;4;6.553300; 26.21 
010107;999001;07;095368;P.FEIJAO 2.3L BC 6085-42 A;675;02; UN ;1;4.909200; 4.91 
010107;999001;07;102704;P GUARDANAPOS 6329 PLASUTI;675;02; UN ;1;2.945000; 2.95 
010107;999001;07;107110;TIGELA ALTA CANELADA 2.3L;675;02; UN ;1;3.325000; 3.33 
010107;999001;07;107348;POTE QUAD 14X14 PREM 2.05L;675;02; UN ;2;7.105000; 14.21 
010107;999001;07;108512;FORMA GELO FIRENZE 255 NIT;675;02; UN ;1;3.064200; 3.06 
010107;999001;07;110221;SECA SALADA CORES SORTIDO;675;02; UN ;1;8.375000; 8.38 
010107;999001;07;110241;P.ALIMENTOS 2.3L POA VM AL;675;02; UN ;1;6.175800; 6.18 
010107;999001;07;110242;P.ALIMENTOS 2.3L POA PT 60;675;02; UN ;1;6.175000; 6.18 
010107;999001;07;111198;JARRA DEC 01 1.7LT PLASUTI;675;02; UN ;2;6.345000; 12.69 
010107;999001;07;111427;ESPREM FRUTAS 500ML 541 PA;675;02; UN ;5;2.612500; 13.06 
010107;999001;07;111657;JARRA 2.5L PLAST C COPO MA;675;02; UN ;1;5.383300; 5.38 
010107;999001;07;113581;ESPATULA RS EVO;675;02; UN ;1;1.546400; 1.55 
010107;999001;07;114353;COPO CANUDO FLEX BARBIE PL;675;02; UN ;1;4.961700; 4.96 
010107;999001;07;114989;POTE TOP ALT 26.5X17.5X12;675;02; UN ;1;9.143300; 9.14 
010107;999001;07;115493;CANECA 300ML HAIDEKEN PEGA;675;02; UN ;1;7.630000; 7.63 
010107;999001;07;115760;PRATO DE JANTAR MELAMINE P;675;02; UN ;1;2.885100; 2.89 
010107;999001;07;116186;CANTIL MORANGUINHO PLASUTI;675;02; UN ;1;5.740600; 5.74 
010107;999001;07;116397;SECADOR PRATOS MADRI 0818;675;02; UN ;1;25.365000; 25.37 
010107;999001;07;116559;P TALHERES 4DIV TPA P 0418;675;02; UN ;4;3.303948; 13.22 
010107;999001;07;116567;JARRA QUAD 2L C TPA 0384 M;675;02; UN ;6;2.493600; 14.96 
010107;999001;07;118181;CANECA DE CHOPP PRATIC 450;675;02; UN ;1;1.780700; 1.78 
010107;999001;07;118182;P.GRF FROST 600ML AM CANAR;675;02; UN ;1;5.038900; 5.04 
010107;999001;07;118183;P.GRF FROST 600ML VM FERRA;675;02; UN ;1;5.038600; 5.04 
010107;999001;07;118192;COPO HAPPY 350ML DEC RAINH;675;02; UN ;2;1.553100; 3.11 
010107;999001;07;118203;COPO EUPHORIA 700ML RS NEO;675;02; UN ;1;1.915700; 1.92 
010107;999001;07;118204;COPO EUPHORIA 700ML AZ NEO;675;02; UN ;1;1.915700; 1.92 
010107;999001;07;118318;CONSUME DE MELAM HOME DESI;675;02; UN ;2;3.822700; 7.65 
